date, pm25, pm10, o3, no2, so2, co
2021/9/13, 42, , 46, , 8, 6
2021/9/14, 47, , 57, , 9, 5
2021/9/15, 39, , 52, , 7, 6
2021/9/16, 42, , 53, , 6, 7
2021/9/17, 45, , 67, , 4, 6
2021/9/18, 40, , 55, , 5, 7
2021/9/19, 52, , 60, , 8, 6
2021/9/20, 51, , 47, , 7, 6
2021/9/21, 46, , 38, , 13, 7
2021/9/22, 61, , 33, , 20, 7
2021/9/23, 63, , 49, , 6, 6
2021/9/24, 47, , 45, , 6, 8
2021/9/25, 43, , 70, , 4, 7
2021/9/26, 39, , 69, , 4, 6
2021/9/27, 31, , 68, , 7, 6
2021/9/28, 36, , 54, , 9, 6
2021/9/29, 45, , 28, , 13, 7
2021/9/30, 46, , 36, , 9, 8
2021/10/1, 43, , 27, , 17, 9
2021/4/2, 43, , 40, , 6, 5
2021/4/3, 38, , 40, , 3, 4
2021/4/4, 36, , 33, , 2, 5
2021/4/5, 39, , 27, , 4, 5
2021/4/6, 41, , 38, , 5, 6
2021/4/7, 52, , 42, , 6, 6
2021/4/8, 51, , 42, , 2, 3
2021/4/9, 32, , 39, , 7, 5
2021/4/10, 49, , 49, , 4, 5
2021/4/11, 46, , 47, , 5, 5
2021/4/12, 41, , 31, , 6, 6
2021/4/13, 36, , 32, , 6, 5
2021/4/14, 31, , 37, , 3, 4
2021/4/15, 46, , 31, , 6, 6
2021/4/16, 56, , 63, , 6, 5
2021/4/17, 40, , 19, , 8, 8
2021/4/18, 65, , 43, , 5, 6
2021/4/19, 48, , 23, , 3, 7
2021/4/20, 40, , 32, , 6, 7
2021/4/21, 56, , 42, , 5, 6
2021/4/22, 39, , 42, , 8, 7
2021/4/23, 62, , 46, , 5, 6
2021/4/24, 47, , 51, , 4, 4
2021/4/25, 39, , 45, , 4, 4
2021/4/26, 44, , 37, , 3, 5
2021/4/27, 31, , 34, , 4, 6
2021/4/28, 37, , 36, , 3, 6
2021/4/29, 39, , 39, , 5, 7
2021/4/30, 54, , 24, , 4, 6
2021/5/1, 33, , 32, , 5, 4
2021/5/2, 34, , 30, , 5, 4
2021/5/3, 37, , 34, , 4, 7
2021/5/4, 37, , 44, , 6, 6
2021/5/5, 39, , 46, , 6, 6
2021/5/6, 50, , 36, , 4, 6
2021/5/7, 37, , 55, , 5, 6
2021/5/8, 52, , 32, , 7, 5
2021/5/9, 45, , 25, , 3, 4
2021/5/10, 34, , 17, , 4, 5
2021/5/11, 29, , 19, , 3, 6
2021/5/12, 33, , 21, , 4, 6
2021/5/13, 52, , 21, , 6, 6
2021/5/14, 47, , 38, , 2, 5
2021/5/15, 46, , 35, , 5, 5
2021/5/16, 50, , 27, , 1, 4
2021/5/17, 33, , 24, , 2, 5
2021/5/18, 30, , 26, , 4, 7
2021/5/19, 44, , 37, , 4, 6
2021/5/20, 42, , 36, , 4, 6
2021/5/21, 42, , 35, , 9, 6
2021/5/22, 49, , 25, , 2, 5
2021/5/23, 35, , 29, , 1, 5
2021/5/24, 27, , 33, , 1, 5
2021/5/25, 36, , 32, , 3, 6
2021/5/26, 44, , 31, , 3, 6
2021/5/27, 48, , 28, , 3, 6
2021/5/28, 46, , 50, , 4, 6
2021/5/29, 50, , 47, , 3, 6
2021/5/30, 50, , 32, , 3, 7
2021/5/31, 59, , 21, , 5, 8
2021/6/1, 55, , 32, , 5, 8
2021/6/2, 60, , 51, , 5, 6
2021/6/3, 58, , 41, , 6, 6
2021/6/4, 43, , 36, , 10, 10
2021/6/5, 52, , 37, , 6, 7
2021/6/6, 59, , 32, , 4, 5
2021/6/7, 38, , 27, , 4, 5
2021/6/8, 38, , 23, , 5, 5
2021/6/9, 42, , 39, , 3, 5
2021/6/10, 39, , 40, , 5, 6
2021/6/11, 47, , 36, , 6, 6
2021/6/12, 62, , 43, , 6, 7
2021/6/13, 58, , 26, , 5, 6
2021/6/14, 30, , 29, , 6, 9
2021/6/15, 59, , 17, , 4, 7
2021/6/16, 35, , 30, , 8, 9
2021/6/17, 57, , 27, , 6, 6
2021/6/18, 42, , 28, , 9, 6
2021/6/19, 53, , 13, , 5, 5
2021/6/20, 35, , , , , 
2021/6/22, 46, , 30, , 8, 5
2021/6/23, 37, , 36, , 6, 6
2021/6/24, 47, , 36, , 7, 6
2021/6/25, 50, , 45, , 4, 4
2021/6/26, 35, , 35, , 5, 6
2021/6/27, 49, , 42, , 4, 6
2021/6/28, 47, , 30, , 6, 7
2021/6/29, 51, , 36, , 5, 6
2021/6/30, 43, , 26, , 4, 5
2021/7/1, 32, , 32, , 5, 5
2021/3/10, 40, , 25, , 2, 6
2021/3/11, 43, , 31, , 1, 6
2021/3/12, 52, , 22, , 3, 7
2021/3/13, 47, , 33, , 1, 6
2021/4/1, 18, , 37, , 7, 5
2020/4/2, 22, , 34, , 3, 4
2020/4/3, 37, , 35, , 3, 3
2020/4/4, 42, , 39, , 4, 3
2020/4/5, 42, , 32, , 5, 4
2020/4/6, 33, , 33, , 5, 3
2020/4/7, 30, , 35, , 4, 3
2020/4/8, 30, , 33, , 5, 3
2020/4/9, 31, , 37, , 4, 4
2020/4/10, 39, , 36, , 2, 4
2020/4/11, 32, , 28, , , 4
2020/4/12, 26, , 31, , 2, 5
2020/4/13, 32, , 42, , 1, 5
2020/4/14, 28, , 36, , 1, 4
2020/4/15, 21, , 44, , 1, 5
2020/4/16, 26, , 38, , 3, 6
2020/4/17, 38, , 61, , 2, 6
2020/4/18, 47, , 51, , , 6
2020/4/19, 44, , 39, , 1, 5
2020/4/20, 39, , 35, , 2, 5
2020/4/21, 37, , 36, , 2, 5
2020/4/22, 37, , 42, , 3, 5
2020/4/23, 35, , 32, , 1, 4
2020/4/24, 38, , 35, , 1, 4
2020/4/25, 38, , 36, , 1, 4
2020/4/26, 40, , 42, , 2, 4
2020/4/27, 56, , 37, , 3, 6
2020/4/28, 49, , 41, , 4, 5
2020/4/29, 61, , 45, , 3, 5
2020/4/30, 55, , 34, , 3, 5
2020/5/1, 48, , 27, , 3, 5
2020/5/2, 48, , 28, , 2, 5
2020/5/3, 50, , 29, , 4, 4
2020/5/4, 39, , 31, , 5, 5
2020/5/5, 43, , 27, , 4, 5
2020/5/6, 42, , 33, , 3, 5
2020/5/7, 48, , 27, , 3, 5
2020/5/8, 50, , 28, , 2, 5
2020/5/9, 51, , 25, , 4, 4
2020/5/10, 43, , 30, , 3, 4
2020/5/11, 45, , 34, , 4, 5
2020/5/12, 40, , 32, , 5, 5
2020/5/13, 40, , 31, , 3, 5
2020/5/14, 55, , 50, , 6, 6
2020/5/15, 60, , 39, , 4, 5
2020/5/16, 53, , 25, , 3, 5
2020/5/17, 48, , 16, , 2, 5
2020/5/18, 45, , 32, , 3, 5
2020/5/19, 37, , 9, , 11, 9
2020/5/20, 35, , , , , 
2020/1/4, 27, , 44, , 3, 5
2020/1/5, 40, , 58, , 4, 5
2020/1/6, 27, , 41, , 2, 4
2020/1/7, 30, , 39, , 3, 5
2020/1/8, 38, 15, 58, , 5, 5
2020/1/9, 48, 12, 57, , 5, 5
2020/1/10, 50, 11, 30, , 9, 8
2020/1/11, 44, 13, 28, , 6, 7
2020/1/12, 42, 9, 28, , 5, 6
2020/1/13, 29, 6, 26, , 3, 5
2020/1/14, 40, , 29, , 6, 7
2020/1/15, 49, , 39, , 7, 7
2020/1/16, 55, , 30, , 6, 7
2020/1/17, 45, , 23, , 5, 8
2020/1/18, 44, , 25, , 6, 8
2020/1/19, 26, , 25, , 4, 6
2020/1/20, 33, , 25, , 6, 6
2020/1/21, 42, , 33, , 4, 7
2020/1/22, 30, , 25, , 3, 6
2020/1/23, 25, , 28, , 3, 5
2020/1/24, 26, , 42, , 3, 5
2020/1/25, 33, , 35, , 4, 7
2020/1/26, 45, , 44, , 7, 7
2020/1/27, 41, , 34, , 5, 6
2020/1/28, 24, , 36, , 2, 5
2020/1/29, 51, , 31, , 7, 8
2020/1/30, 34, , 27, , 3, 4
2020/1/31, 53, , 46, , 7, 6
2020/2/1, 63, , 41, , 5, 6
2020/2/2, 75, , 23, , 9, 8
2020/2/3, 55, , 39, , 5, 5
2020/2/4, 40, , 38, , 4, 5
2020/2/5, 38, , 44, , 4, 4
2020/2/6, 52, , 64, , 8, 4
2020/2/7, 53, , 62, , 8, 4
2020/2/8, 74, , 56, , 8, 6
2020/2/13, 69, , 36, , 7, 6
2020/2/14, 60, , 35, , 10, 6
2020/2/15, 71, , 51, , 12, 7
2020/2/16, 62, , 47, , 9, 6
2020/2/17, 53, , 41, , 8, 6
2020/2/18, 45, , 35, , 5, 6
2020/2/19, 52, , 38, , 8, 8
2020/2/20, 50, , 29, , 11, 6
2020/2/21, 55, , 37, , 8, 6
2020/2/22, 38, , 35, , 5, 6
2020/2/23, 49, , 43, , 4, 6
2020/2/24, 43, , 55, , 4, 6
2020/2/25, 39, , 35, , 4, 5
2020/2/26, 45, , 41, , 5, 5
2020/2/27, 28, , 32, , 3, 5
2020/2/28, 32, , 43, , 3, 5
2020/2/29, 43, , 45, , 6, 7
2020/3/1, 60, , 42, , 8, 9
2020/3/2, 49, , 57, , 6, 6
2020/3/3, 52, , 87, , 7, 6
2020/3/4, 48, , 37, , 4, 6
2020/3/5, 48, , 37, , 4, 5
2020/3/6, 53, , 40, , 4, 5
2020/3/7, 42, , 28, , 3, 6
2020/3/8, 42, , 49, , 3, 5
2020/3/9, 42, , 58, , 4, 5
2020/3/10, 45, , 44, , 4, 5
2020/3/11, 52, , 55, , 5, 6
2020/3/12, 51, , 48, , 4, 6
2020/3/13, 46, , 45, , 5, 6
2020/3/14, 34, , 52, , 3, 4
2020/3/15, 32, , 28, , 9, 4
2020/3/16, 29, , 36, , 6, 3
2020/3/17, 22, , 38, , 1, 3
2020/3/18, 27, , 56, , 2, 3
