date, pm25, pm10, o3, no2, so2, co
2021/9/10, 50, , 65, , 4, 4
2021/9/11, 43, , 47, , 3, 5
2021/9/12, 64, , 47, , 3, 3
2021/9/13, 45, , 55, , 3, 3
2021/9/14, 43, , 73, , 6, 4
2021/9/15, 59, , 72, , 4, 3
2021/9/16, 52, , 72, , 3, 1
2021/9/17, 35, , 79, , 3, 1
2021/9/18, 33, , 85, , 3, 1
2021/9/19, 38, , 78, , 2, 2
2021/9/20, 47, , 60, , 3, 3
2021/9/21, 50, , 55, , 3, 3
2021/9/22, 56, , 44, , 5, 5
2021/9/23, 72, , 56, , 3, 
2021/9/24, 43, , 56, , 3, 1
2021/9/25, 41, , 84, , 3, 
2021/9/26, 25, , 33, , 3, 1
2021/9/27, 26, , 81, , 3, 3
2021/9/28, 34, , 71, , 4, 5
2021/9/29, 57, , 52, , 4, 5
2021/9/30, 50, , 42, , 2, 7
2021/10/1, 57, , 50, , 4, 8
2021/4/2, 45, , 40, , 2, 5
2021/4/3, 40, , 36, , 2, 6
2021/4/4, 47, , 4, , 2, 4
2021/4/5, 45, , 40, , 3, 7
2021/4/6, 54, , 39, , 3, 7
2021/4/7, 51, , 37, , 4, 9
2021/4/8, 64, , 40, , 2, 5
2021/4/9, 46, , 34, , 3, 7
2021/4/10, 56, , 35, , 3, 8
2021/4/11, 62, , 48, , 3, 8
2021/4/12, 42, , 32, , 3, 6
2021/4/13, 33, , 36, , 3, 4
2021/4/14, 31, , 37, , 3, 3
2021/4/15, 40, , 30, , 3, 5
2021/4/16, 55, , 55, , 4, 5
2021/4/17, 52, , 20, , 4, 7
2021/4/18, 53, , 48, , 4, 7
2021/4/19, 56, , 16, , 3, 8
2021/4/20, 45, , 35, , 5, 7
2021/4/21, 60, , 43, , 4, 8
2021/4/22, 50, , 40, , 5, 7
2021/4/23, 65, , 43, , 4, 7
2021/4/24, 62, , 55, , 3, 3
2021/4/25, 43, , 53, , 3, 3
2021/4/26, 48, , 32, , 3, 7
2021/4/27, 46, , 21, , 4, 11
2021/4/28, 55, , 23, , 3, 9
2021/4/29, 49, , 34, , 4, 8
2021/4/30, 57, , 24, , 3, 8
2021/5/1, 43, , 14, , 3, 7
2021/5/2, 33, , 35, , 2, 6
2021/5/3, 34, , 23, , 3, 9
2021/5/4, 44, , 48, , 3, 9
2021/5/5, 56, , 36, , 3, 6
2021/5/6, 56, , 35, , 3, 7
2021/5/7, 48, , 35, , 4, 8
2021/5/8, 55, , 37, , 3, 4
2021/5/9, 51, , 26, , 2, 3
2021/5/10, 31, , 20, , 2, 3
2021/5/11, 20, , 23, , 3, 3
2021/5/12, 23, , 18, , 6, 9
2021/5/13, 56, , 24, , 4, 7
2021/5/14, 54, , 33, , 4, 6
2021/5/15, 62, , 32, , 2, 4
2021/5/16, 46, , 27, , 2, 3
2021/5/17, 38, , 17, , 3, 7
2021/5/18, 46, , 24, , 4, 6
2021/5/19, 34, , 39, , 3, 5
2021/5/20, 47, , 35, , 4, 7
2021/5/21, 50, , 35, , 4, 6
2021/5/22, 58, , 28, , 3, 5
2021/5/23, 41, , 30, , 2, 4
2021/5/24, 38, , 33, , 3, 5
2021/5/25, 42, , 26, , 3, 7
2021/5/26, 58, , 28, , 4, 6
2021/5/27, 49, , 28, , 4, 6
2021/5/28, 50, , 42, , 4, 6
2021/5/29, 61, , 40, , 3, 7
2021/5/30, 53, , 36, , 4, 7
2021/5/31, 58, , 28, , 6, 10
2021/6/1, 63, , 29, , 5, 9
2021/6/2, 63, , 40, , 5, 9
2021/6/3, 75, , 34, , 5, 6
2021/6/4, 44, , 33, , 4, 7
2021/6/5, 39, , 33, , 4, 8
2021/6/6, 50, , 29, , 3, 6
2021/6/7, 46, , 19, , 3, 8
2021/6/8, 45, , 12, , 4, 8
2021/6/9, 45, , 30, , 4, 7
2021/6/10, 63, , 39, , 4, 5
2021/6/11, 59, , 27, , 6, 9
2021/6/12, 87, , 38, , 5, 7
2021/6/13, 57, , 25, , 3, 6
2021/6/14, 43, , 25, , 4, 10
2021/6/15, 64, , 16, , 4, 7
2021/6/16, 46, , 33, , 7, 8
2021/6/17, 63, , 34, , 4, 6
2021/6/18, 48, , 30, , 5, 8
2021/6/19, 52, , 20, , 4, 8
2021/6/20, 60, , , , , 
2021/6/22, 32, , 37, , 4, 8
2021/6/23, 49, , 32, , 4, 6
2021/6/24, 53, , 37, , 6, 8
2021/6/25, 51, , 44, , 3, 7
2021/6/26, 54, , 36, , 4, 7
2021/6/27, 54, , 46, , 4, 7
2021/6/28, 56, , 31, , 5, 8
2021/6/29, 49, , 43, , 3, 3
2021/6/30, 34, , 28, , 4, 4
2021/7/1, 32, , 38, , 4, 4
2021/1/5, 37, , 19, , 2, 5
2021/1/6, 35, , 22, , 3, 5
2021/1/7, 44, , 39, , 2, 4
2021/1/8, 43, , 27, , 4, 8
2021/1/9, 59, , 36, , 3, 5
2021/1/10, 50, , 37, , 2, 4
2021/1/11, 45, , 35, , 4, 7
2021/1/12, 51, , 32, , 4, 7
2021/1/13, 55, , 34, , 3, 6
2021/1/14, 46, , 37, , 4, 6
2021/1/15, 55, , 40, , 2, 5
2021/1/16, 54, , 36, , 1, 4
2021/1/17, 38, , 40, , 1, 3
2021/1/18, 37, , 36, , 3, 5
2021/1/19, 51, , 40, , 3, 5
2021/1/20, 55, , 38, , 3, 5
2021/1/21, 53, , 31, , 3, 6
2021/1/22, 50, , 19, , 3, 6
2021/1/23, 50, , 36, , 3, 7
2021/1/24, 54, , 38, , 2, 5
2021/1/25, 41, , 27, , 4, 8
2021/1/26, 57, , 32, , 3, 7
2021/1/27, 57, , 38, , 3, 6
2021/1/28, 48, , 46, , 3, 5
2021/1/29, 53, , 45, , 2, 6
2021/1/30, 44, , 42, , 2, 5
2021/1/31, 38, , 42, , 2, 3
2021/2/1, 32, , 36, , 3, 7
2021/2/2, 46, , 37, , 3, 6
2021/2/3, 54, , 37, , 3, 7
2021/2/4, 62, , 43, , 3, 7
2021/2/5, 48, , 32, , 3, 8
2021/2/6, 50, , 40, , 3, 8
2021/2/7, 50, , 41, , 2, 6
2021/2/8, 49, , 32, , 3, 8
2021/2/9, 50, , 41, , 3, 8
2021/2/10, 59, , 34, , 2, 7
2021/2/11, 44, , 28, , 2, 6
2021/2/12, 38, , 29, , 2, 7
2021/2/13, 58, , 6, , 2, 6
2021/2/14, 54, , , , , 
2021/2/16, 69, , 38, , 2, 3
2021/2/17, 34, , 37, , 2, 4
2021/2/18, 32, , 29, , 2, 5
2021/2/19, 41, , 15, , 2, 6
2021/2/20, 34, , 34, , 2, 6
2021/2/21, 45, , 32, , 2, 4
2021/2/22, 32, , 18, , 2, 7
2021/2/23, 44, , 44, , 3, 8
2021/2/24, 68, , 33, , 3, 7
2021/2/25, 48, , 31, , 2, 6
2021/2/26, 49, , 27, , 2, 6
2021/2/27, 47, , 31, , 2, 6
2021/2/28, 50, , 40, , 2, 5
2021/3/1, 40, , 22, , 2, 7
2021/3/2, 37, , 17, , 2, 8
2021/3/3, 45, , 30, , 2, 7
2021/3/4, 45, , 26, , 2, 10
2021/3/5, 42, , 26, , 3, 10
2021/3/6, 61, , 50, , 4, 11
2021/3/7, 65, , 45, , 2, 7
2021/3/8, 57, , 23, , 2, 9
2021/3/9, 50, , 14, , 2, 10
2021/3/10, 44, , 17, , 2, 8
2021/3/11, 50, , 15, , 4, 10
2021/3/12, 55, , 20, , 2, 8
2021/3/13, 47, , 31, , 3, 12
2021/3/14, 64, , 44, , 1, 7
2021/3/15, 39, , 24, , 2, 9
2021/3/16, 50, , 33, , 2, 9
2021/3/17, 39, , 31, , 3, 10
2021/3/18, 53, , 33, , 2, 10
2021/3/19, 44, , 36, , 3, 9
2021/3/20, 67, , 34, , 2, 6
2021/3/21, 51, , 42, , 2, 4
2021/3/22, 41, , 25, , 2, 4
2021/3/23, 42, , 34, , 2, 8
2021/3/24, 53, , 51, , 3, 7
2021/3/25, 58, , 51, , 5, 8
2021/3/26, 60, , 50, , 3, 9
2021/3/27, 73, , 45, , 3, 8
2021/3/28, 71, , 47, , 2, 7
2021/3/29, 54, , 32, , 2, 7
2021/3/30, 58, , 27, , 3, 6
2021/3/31, 43, , 34, , 4, 6
2021/4/1, 43, , 38, , 3, 6
2020/10/2, 37, , 59, , 4, 6
2020/10/3, 48, , 44, , 8, 6
2020/10/4, 69, , 47, , 8, 5
2020/10/5, 50, , 55, , 2, 3
2020/10/6, 34, , 75, , 2, 4
2020/10/7, 43, , 65, , 2, 5
2020/10/8, 47, , 67, , 2, 4
2020/10/9, 34, , 81, , 2, 4
2020/10/10, 40, , 91, , 2, 4
2020/10/11, 55, , 86, , 1, 3
2020/10/12, 38, , 74, , 2, 3
2020/10/13, 38, , 65, , 2, 3
2020/10/14, 44, , 61, , 3, 4
2020/10/15, 58, , 49, , 3, 4
2020/10/16, 42, , 19, , 2, 5
2020/10/17, 35, , 42, , 3, 5
2020/10/18, 32, , 48, , 2, 5
2020/10/19, 44, , 41, , 3, 8
2020/10/20, 50, , 55, , 4, 9
